Index,DT,A1
1,2020-04-01,16.25
2,2020-04-02,12.68
3,2020-04-03,9.8
4,2020-04-04,10.37
5,2020-04-05,10.05
6,2020-04-06,11.94
7,2020-04-07,12.18
8,2020-04-08,9.25
9,2020-04-09,9.94
10,2020-04-10,6.45
11,2020-04-11,4.69
12,2020-04-12,4.06
13,2020-04-13,2.37
14,2020-04-14,1.81
15,2020-04-15,1.74
16,2020-04-16,1.81
17,2020-04-17,1.24
18,2020-04-18,0.88
19,2020-04-19,1.93
20,2020-04-20,0.81
21,2020-04-21,0.69
22,2020-04-22,0.61
23,2020-04-23,1
24,2020-04-24,1.25
25,2020-04-25,1.43
26,2020-04-26,2.18
27,2020-04-27,0.76
28,2020-04-28,1.13
29,2020-04-29,1.31
30,2020-04-30,0.76
31,2020-05-01,1
32,2020-05-02,1.13
33,2020-05-03,0.94
34,2020-05-04,0.93
35,2020-05-05,1.13
36,2020-05-06,1.25
37,2020-05-07,1.12
38,2020-05-08,0.99
39,2020-05-09,2.18
40,2020-05-10,2.13
41,2020-05-11,1.56
42,2020-05-12,1.99
43,2020-05-13,1.38
44,2020-05-14,1.06
45,2020-05-15,1.7
46,2020-05-16,2.19
47,2020-05-17,2.12
48,2020-05-18,1.62
49,2020-05-19,2.93
50,2020-05-20,3.06
51,2020-05-21,3.45
52,2020-05-22,3.88
53,2020-05-23,8.19
54,2020-05-24,12.95
55,2020-05-25,9.75
56,2020-05-26,23.37
57,2020-05-27,12.69
58,2020-05-28,17.2
59,2020-05-29,19.69
60,2020-05-30,20.01
61,2020-05-31,22.31
62,2020-06-01,20.88
63,2020-06-02,13.76
64,2020-06-03,19.45
65,2020-06-04,18.74
66,2020-06-05,28.32
67,2020-06-06,21.88
68,2020-06-07,11.94
69,2020-06-08,2.81
70,2020-06-09,3.18
71,2020-06-10,2
72,2020-06-11,13.59
73,2020-06-12,14.06
74,2020-06-13,4.69
75,2020-06-14,2.57
76,2020-06-15,1.69
77,2020-06-16,3.13
78,2020-06-17,3.06
79,2020-06-18,3.82
80,2020-06-19,3.45
81,2020-06-20,1.75
82,2020-06-21,3.01
83,2020-06-22,2.87
84,2020-06-23,3.75
85,2020-06-24,4.76
86,2020-06-25,6.18
87,2020-06-26,7.62
88,2020-06-27,10.75
89,2020-06-28,18.43
90,2020-06-29,15.74
91,2020-06-30,19.75
92,2020-07-01,16.06
93,2020-07-02,22.38
94,2020-07-03,17.8
95,2020-07-04,16.01
96,2020-07-05,17.26
97,2020-07-06,10
98,2020-07-07,3
99,2020-07-08,1.89
100,2020-07-09,3
101,2020-07-10,2.05
102,2020-07-11,1.62
103,2020-07-12,1.49
104,2020-07-13,2.57
105,2020-07-14,1.63
106,2020-07-15,1.81
107,2020-07-16,2.82
108,2020-07-17,4.43
109,2020-07-18,3.57
110,2020-07-19,4.88
111,2020-07-20,9.62
112,2020-07-21,21.69
113,2020-07-22,11.5
114,2020-07-23,16.62
115,2020-07-24,21.88
116,2020-07-25,20.82
117,2020-07-26,22.87
118,2020-07-27,10.19
119,2020-07-28,11.24
120,2020-07-29,13.01
121,2020-07-30,19.63
122,2020-07-31,19.18
123,2020-08-01,15.07
124,2020-08-02,24.45
125,2020-08-03,17.45
126,2020-08-04,11.99
127,2020-08-05,16.7
128,2020-08-06,4.38
129,2020-08-07,4.43
130,2020-08-08,4.12
131,2020-08-09,2.87
132,2020-08-10,2.76
133,2020-08-11,2.76
134,2020-08-12,2.44
135,2020-08-13,1.5
136,2020-08-14,3.25
137,2020-08-15,2.87
138,2020-08-16,2.57
139,2020-08-17,2.56
140,2020-08-18,2.88
141,2020-08-19,4.51
142,2020-08-20,5.43
143,2020-08-21,5.68
144,2020-08-22,7.38
145,2020-08-23,9.88
146,2020-08-24,18.49
147,2020-08-25,21.81
148,2020-08-26,23.56
149,2020-08-27,22.73
150,2020-08-28,21.45
151,2020-08-29,14.63
152,2020-08-30,16.56
153,2020-08-31,17.75
154,2020-09-01,21.44
155,2020-09-02,28.06
156,2020-09-03,20.75
157,2020-09-04,18.75
158,2020-09-05,15
159,2020-09-06,26.01
160,2020-09-07,14.87
161,2020-09-08,17.88
162,2020-09-09,22.62
163,2020-09-10,21.94
164,2020-09-11,24.81
165,2020-09-12,12.19
166,2020-09-13,24.81
167,2020-09-14,25.68
168,2020-09-15,22.07
169,2020-09-16,21.62
170,2020-09-17,21.3
171,2020-09-18,10.06
172,2020-09-19,11.99
173,2020-09-20,6.61
174,2020-09-21,6.76
175,2020-09-22,6.63
176,2020-09-23,6
177,2020-09-24,14.62
178,2020-09-25,27.25
179,2020-09-26,27.31
180,2020-09-27,27.94
181,2020-09-28,15.93
182,2020-09-29,24.81
183,2020-09-30,23.94
184,2020-10-01,26.37
185,2020-10-02,30.37
186,2020-10-03,23.62
187,2020-10-04,28.99
188,2020-10-05,11.26
189,2020-10-06,14.12
190,2020-10-07,10.69
191,2020-10-08,19.69
192,2020-10-09,12.3
193,2020-10-10,27.25
194,2020-10-11,13.93
195,2020-10-12,4.93
196,2020-10-13,5.37
197,2020-10-14,23.13
198,2020-10-15,13.13
199,2020-10-16,3.68
200,2020-10-17,23.63
201,2020-10-18,18.12
202,2020-10-19,29.25
203,2020-10-20,27.68
204,2020-10-21,26
205,2020-10-22,20
206,2020-10-23,15.94
207,2020-10-24,22.75
208,2020-10-25,21.51
209,2020-10-26,21
210,2020-10-27,20.49
211,2020-10-28,19.12
212,2020-10-29,18.88
213,2020-10-30,19.75
214,2020-10-31,25.87
215,2020-11-01,19.55
216,2020-11-02,24.51
217,2020-11-03,26.3
218,2020-11-04,23.75
219,2020-11-05,12
220,2020-11-06,17.31
221,2020-11-07,27.69
222,2020-11-08,11.88
223,2020-11-09,6.75
224,2020-11-10,20.43
225,2020-11-11,24.07
226,2020-11-12,13.3
227,2020-11-13,26.99
228,2020-11-14,23.58
229,2020-11-15,24.06
230,2020-11-16,25.93
231,2020-11-17,24.25
232,2020-11-18,25.38
233,2020-11-19,26.63
234,2020-11-20,26.56
235,2020-11-21,26.25
236,2020-11-22,23.25
237,2020-11-23,23.44
238,2020-11-24,23.56
239,2020-11-25,20.75
240,2020-11-26,21.81
241,2020-11-27,25.18
242,2020-11-28,18.31
243,2020-11-29,28.74
244,2020-11-30,23.06
245,2020-12-01,22.18
246,2020-12-02,16.74
247,2020-12-03,21.56
248,2020-12-04,25.07
249,2020-12-05,25.24
250,2020-12-06,27.44
251,2020-12-07,15.25
252,2020-12-08,16.06
253,2020-12-09,19.83
254,2020-12-10,22.88
255,2020-12-11,31.69
256,2020-12-12,22.11
257,2020-12-13,24.12
258,2020-12-14,21.43
259,2020-12-15,15.76
260,2020-12-16,18.19
261,2020-12-17,17.44
262,2020-12-18,32.74
263,2020-12-19,27.25
264,2020-12-20,26.13
265,2020-12-21,22.57
266,2020-12-22,25.81
267,2020-12-23,27.13
268,2020-12-24,28.75
269,2020-12-25,28.81
270,2020-12-26,28.25
271,2020-12-27,27.12
272,2020-12-28,20.63
273,2020-12-29,27.81
274,2020-12-30,24.56
275,2020-12-31,25.68
276,2021-01-01,25.51
277,2021-01-02,28.88
278,2021-01-03,28.44
279,2021-01-04,27.38
280,2021-01-05,21.06
281,2021-01-06,26.25
282,2021-01-07,27.31
283,2021-01-08,26.75
284,2021-01-09,29.63
285,2021-01-10,26.01
286,2021-01-11,26.75
287,2021-01-12,23.07
288,2021-01-13,27.44
289,2021-01-14,24.56
290,2021-01-15,23.06
291,2021-01-16,27.13
292,2021-01-17,17.75
293,2021-01-18,21.67
294,2021-01-19,26.43
295,2021-01-20,18.81
296,2021-01-21,26.25
297,2021-01-22,26.55
298,2021-01-23,25.93
299,2021-01-24,29.74
300,2021-01-25,19.12
301,2021-01-26,22.5
302,2021-01-27,18.81
303,2021-01-28,20.62
304,2021-01-29,26.81
305,2021-01-30,29.26
306,2021-01-31,30.44
307,2021-02-01,26.81
308,2021-02-02,25.12
309,2021-02-03,24.81
310,2021-02-04,19.37
311,2021-02-05,27.49
312,2021-02-06,23.5
313,2021-02-07,22.55
314,2021-02-08,28.81
315,2021-02-09,25.26
316,2021-02-10,28.94
317,2021-02-11,23.01
318,2021-02-12,24.95
319,2021-02-13,27.07
320,2021-02-14,26.06
321,2021-02-15,26.5
322,2021-02-16,28.56
323,2021-02-17,25.3
324,2021-02-18,25.5
325,2021-02-19,18.01
326,2021-02-20,26.94
327,2021-02-21,24.31
328,2021-02-22,24.75
329,2021-02-23,20.2
330,2021-02-24,24.81
331,2021-02-25,24.12
332,2021-02-26,21.99
333,2021-02-27,25.82
334,2021-02-28,27.38
335,2021-03-01,21.57
336,2021-03-02,27.49
337,2021-03-03,24.88
338,2021-03-04,24.06
339,2021-03-05,22.19
340,2021-03-06,20.63
341,2021-03-07,22.08
342,2021-03-08,21.18
343,2021-03-09,15.19
344,2021-03-10,6.75
345,2021-03-11,22.5
346,2021-03-12,28.32
347,2021-03-13,20.38
348,2021-03-14,20.75
349,2021-03-15,21.43
350,2021-03-16,26
351,2021-03-17,23.68
352,2021-03-18,24.25
353,2021-03-19,22.43
354,2021-03-20,18.75
355,2021-03-21,24.81
356,2021-03-22,22.88
357,2021-03-23,25.45
358,2021-03-24,26.19
359,2021-03-25,20.55
360,2021-03-26,23.06
361,2021-03-27,19.81
362,2021-03-28,24.5
363,2021-03-29,25.93
364,2021-03-30,27.44
365,2021-03-31,28
366,2021-04-01,18.75
367,2021-04-02,28.12
368,2021-04-03,15.62
369,2021-04-04,19.13
370,2021-04-05,23.06
371,2021-04-06,27.38
372,2021-04-07,23.24
373,2021-04-08,26.18
374,2021-04-09,19.69
375,2021-04-10,35.63
376,2021-04-11,29.89
377,2021-04-12,27.38
378,2021-04-13,27.88
379,2021-04-14,33.32
380,2021-04-15,36.06
381,2021-04-16,21
382,2021-04-17,30.49
383,2021-04-18,34.06
384,2021-04-19,35.57
385,2021-04-20,45.13
386,2021-04-21,28.44
387,2021-04-22,30.31
388,2021-04-23,27.93
389,2021-04-24,38.75
390,2021-04-25,31.93
391,2021-04-26,31.49
392,2021-04-27,31.43
