Index,DT,A1
1,01/04/20,18.74
2,02/04/20,23.37
3,03/04/20,13.49
4,04/04/20,17.01
5,05/04/20,27.24
6,06/04/20,17.31
7,07/04/20,9.19
8,08/04/20,19
9,09/04/20,19.67
10,10/04/20,5.57
11,11/04/20,4.69
12,12/04/20,4.06
13,13/04/20,2.01
14,14/04/20,2
15,15/04/20,2.68
16,16/04/20,2.19
17,17/04/20,1.63
18,18/04/20,0.87
19,19/04/20,0.99
20,20/04/20,0.5
21,21/04/20,0.87
22,22/04/20,1.69
23,23/04/20,1
24,24/04/20,1.25
25,25/04/20,1.39
26,26/04/20,1.24
27,27/04/20,1.13
28,28/04/20,1.25
29,29/04/20,1.3
30,30/04/20,1.05
31,01/05/20,1.14
32,02/05/20,1.06
33,03/05/20,2
34,04/05/20,1.07
35,05/05/20,0.95
36,06/05/20,2.19
37,07/05/20,1.2
38,08/05/20,0.82
39,09/05/20,1.51
40,10/05/20,1.33
41,11/05/20,1.49
42,12/05/20,1.19
43,13/05/20,1.07
44,14/05/20,1.81
45,15/05/20,1.57
46,16/05/20,1.89
47,17/05/20,2.62
48,18/05/20,1.76
49,19/05/20,3.37
50,20/05/20,3.51
51,21/05/20,3.51
52,22/05/20,4
53,23/05/20,14.31
54,24/05/20,19.32
55,25/05/20,19.38
56,26/05/20,28.31
57,27/05/20,17.92
58,28/05/20,28.37
59,29/05/20,29.94
60,30/05/20,29.38
61,31/05/20,31.38
62,01/06/20,25.32
63,02/06/20,27.64
64,03/06/20,30.69
65,04/06/20,27.19
66,05/06/20,29.87
67,06/06/20,33.38
68,07/06/20,29.93
69,08/06/20,2.25
70,09/06/20,3.5
71,10/06/20,3.07
72,11/06/20,24.75
73,12/06/20,22.44
74,13/06/20,5
75,14/06/20,2.5
76,15/06/20,2.18
77,16/06/20,3.13
78,17/06/20,3.44
79,18/06/20,4.88
80,19/06/20,2.62
81,20/06/20,3.24
82,21/06/20,4.07
83,22/06/20,3.12
84,23/06/20,4.5
85,24/06/20,5.19
86,25/06/20,5.55
87,26/06/20,5.43
88,27/06/20,20.26
89,28/06/20,27.49
90,29/06/20,22.95
91,30/06/20,24.68
92,01/07/20,19.18
93,02/07/20,28.43
94,03/07/20,10.88
95,04/07/20,22.2
96,05/07/20,24.94
97,06/07/20,4.19
98,07/07/20,2.93
99,08/07/20,2.51
100,09/07/20,1.75
101,10/07/20,2.06
102,11/07/20,2.31
103,12/07/20,1.63
104,13/07/20,1.75
105,14/07/20,1.5
106,15/07/20,1.88
107,16/07/20,4.07
108,17/07/20,5
109,18/07/20,4.2
110,19/07/20,4.88
111,20/07/20,19.63
112,21/07/20,22.06
113,22/07/20,22.31
114,23/07/20,29.82
115,24/07/20,19.74
116,25/07/20,22.51
117,26/07/20,29.63
118,27/07/20,24.76
119,28/07/20,13.25
120,29/07/20,22.5
121,30/07/20,22.12
122,31/07/20,26.82
123,01/08/20,15.88
124,02/08/20,22.06
125,03/08/20,8.82
126,04/08/20,18.45
127,05/08/20,13.32
128,06/08/20,4.94
129,07/08/20,5.56
130,08/08/20,2.68
131,09/08/20,3.31
132,10/08/20,2.8
133,11/08/20,2.25
134,12/08/20,2.56
135,13/08/20,2.24
136,14/08/20,2.88
137,15/08/20,2.61
138,16/08/20,2.87
139,17/08/20,2.63
140,18/08/20,3
141,19/08/20,5.07
142,20/08/20,5.94
143,21/08/20,6.06
144,22/08/20,13.18
145,23/08/20,17.57
146,24/08/20,31.01
147,25/08/20,28.93
148,26/08/20,18.19
149,27/08/20,24.94
150,28/08/20,28.58
151,29/08/20,16.99
152,30/08/20,26.19
153,31/08/20,28.19
154,01/09/20,31.07
155,02/09/20,24.37
156,03/09/20,31.12
157,04/09/20,30.75
158,05/09/20,15.38
159,06/09/20,27.33
160,07/09/20,21.31
161,08/09/20,23.31
162,09/09/20,28.06
163,10/09/20,26.27
164,11/09/20,28.95
165,12/09/20,16.99
166,13/09/20,32.62
167,14/09/20,37.25
168,15/09/20,25.37
169,16/09/20,28.07
170,17/09/20,34.75
171,18/09/20,2.32
172,19/09/20,21.87
173,20/09/20,6
174,21/09/20,5.56
175,22/09/20,6.07
176,23/09/20,6.49
177,24/09/20,16.31
178,25/09/20,39.12
179,26/09/20,31.93
180,27/09/20,29.57
181,28/09/20,14.77
182,29/09/20,33.07
183,30/09/20,34.5
184,01/10/20,31.7
185,02/10/20,25.13
186,03/10/20,30.49
187,04/10/20,28.18
188,05/10/20,20.56
189,06/10/20,19.88
190,07/10/20,21.5
191,08/10/20,37.13
192,09/10/20,36.81
193,10/10/20,29.88
194,11/10/20,14.5
195,12/10/20,4.81
196,13/10/20,4.56
197,14/10/20,42.12
198,15/10/20,16.93
199,16/10/20,7.13
200,17/10/20,21.99
201,18/10/20,22.75
202,19/10/20,14.12
203,20/10/20,27.81
204,21/10/20,29.81
205,22/10/20,21
206,23/10/20,20.06
207,24/10/20,30.69
208,25/10/20,34.12
209,26/10/20,36.89
210,27/10/20,27.57
211,28/10/20,30.24
212,29/10/20,25.19
213,30/10/20,22.44
214,31/10/20,30.13
215,01/11/20,32.2
216,02/11/20,28.32
217,03/11/20,32.82
218,04/11/20,23.92
219,05/11/20,12.56
220,06/11/20,20.5
221,07/11/20,24.36
222,08/11/20,6.45
223,09/11/20,15.94
224,10/11/20,37.32
225,11/11/20,29.87
226,12/11/20,21.69
227,13/11/20,34.43
228,14/11/20,33.44
229,15/11/20,34.75
230,16/11/20,28.12
231,17/11/20,32.82
232,18/11/20,26.44
233,19/11/20,33.93
234,20/11/20,18.63
235,21/11/20,36.26
236,22/11/20,21.68
237,23/11/20,31.88
238,24/11/20,31.57
239,25/11/20,33.63
240,26/11/20,25.49
241,27/11/20,27.5
242,28/11/20,21.25
243,29/11/20,28.94
244,30/11/20,35
245,01/12/20,13.68
246,02/12/20,18.95
247,03/12/20,26.81
248,04/12/20,35.25
249,05/12/20,33.14
250,06/12/20,30.75
251,07/12/20,13.18
252,08/12/20,18.07
253,09/12/20,25.94
254,10/12/20,33.89
255,11/12/20,28.19
256,12/12/20,29.44
257,13/12/20,35.05
258,14/12/20,13.12
259,15/12/20,32.25
260,16/12/20,10.75
261,17/12/20,34.57
262,18/12/20,30.38
263,19/12/20,35.89
264,20/12/20,36.38
265,21/12/20,28.49
266,22/12/20,24.02
267,23/12/20,26.18
268,24/12/20,36.25
269,25/12/20,26.31
270,26/12/20,39.13
271,27/12/20,38.06
272,28/12/20,19.69
273,29/12/20,30.43
274,30/12/20,33.62
275,31/12/20,31.5
276,01/01/21,34.31
277,02/01/21,20.07
278,03/01/21,35.31
279,04/01/21,35.07
280,05/01/21,21.87
281,06/01/21,34.18
282,07/01/21,35.3
283,08/01/21,37.74
284,09/01/21,30.18
285,10/01/21,37.18
286,11/01/21,36.99
287,12/01/21,27.62
288,13/01/21,39.93
289,14/01/21,32.75
290,15/01/21,37.99
291,16/01/21,28.38
292,17/01/21,21.44
293,18/01/21,38.19
294,19/01/21,37.52
295,20/01/21,25.93
296,21/01/21,34.63
297,22/01/21,35.01
298,23/01/21,34.69
299,24/01/21,34.05
300,25/01/21,32
301,26/01/21,32.43
302,27/01/21,29
303,28/01/21,28.68
304,29/01/21,37.51
305,30/01/21,35.5
306,31/01/21,29.82
307,01/02/21,38.25
308,02/02/21,34.87
309,03/02/21,37.07
310,04/02/21,22.13
311,05/02/21,35.49
312,06/02/21,35.74
313,07/02/21,32.68
314,08/02/21,30.25
315,09/02/21,31.62
316,10/02/21,37.94
317,11/02/21,27.81
318,12/02/21,35.74
319,13/02/21,33.01
320,14/02/21,38.81
321,15/02/21,29.56
322,16/02/21,35.93
323,17/02/21,26.87
324,18/02/21,35.94
325,19/02/21,23.69
326,20/02/21,35.25
327,21/02/21,35.31
328,22/02/21,35.73
329,23/02/21,33.93
330,24/02/21,29.12
331,25/02/21,36.89
332,26/02/21,24.75
333,27/02/21,36.81
334,28/02/21,33.43
335,01/03/21,31.56
336,02/03/21,22.81
337,03/03/21,33.25
338,04/03/21,33.51
339,05/03/21,32.31
340,06/03/21,25
341,07/03/21,31.13
342,08/03/21,28.18
343,09/03/21,7.12
344,10/03/21,16.43
345,11/03/21,33.37
346,12/03/21,35.49
347,13/03/21,21.63
348,14/03/21,25.44
349,15/03/21,34.81
350,16/03/21,31.55
351,17/03/21,33.94
352,18/03/21,24.69
353,19/03/21,32.5
354,20/03/21,22.12
355,21/03/21,32.75
356,22/03/21,32
357,23/03/21,32.12
358,24/03/21,29.13
359,25/03/21,34.19
360,26/03/21,35.63
361,27/03/21,25.69
362,28/03/21,35.45
363,29/03/21,34.68
364,30/03/21,27.25
365,31/03/21,31.07
366,01/04/21,36.37
367,02/04/21,32.56
368,03/04/21,22.8
369,04/04/21,35.07
370,05/04/21,34.06
371,06/04/21,26.81
372,07/04/21,34.56
373,08/04/21,30.93
374,09/04/21,75.32
375,10/04/21,46.18
376,11/04/21,48.75
377,12/04/21,6.12
378,13/04/21,53.51
379,14/04/21,49.12
380,15/04/21,61.25
381,16/04/21,33.49
382,17/04/21,60.56
383,18/04/21,52.5
384,19/04/21,26.93
385,20/04/21,40.69
386,21/04/21,49.94
387,22/04/21,49.56
388,23/04/21,35.43
389,24/04/21,55.94
390,25/04/21,49.19
391,26/04/21,46.68
392,27/04/21,39.43
393,28/04/21,51.44
394,29/04/21,47.76
395,30/04/21,24.62
396,01/05/21,53.75
397,02/05/21,45.13
398,03/05/21,36.5
399,04/05/21,26.12
400,05/05/21,42.88
401,06/05/21,52.61
402,07/05/21,35.44
403,08/05/21,45.62
404,09/05/21,35
405,10/05/21,39.87
406,11/05/21,44
407,12/05/21,51.87
408,13/05/21,52
409,14/05/21,24.69
410,15/05/21,43.07
411,16/05/21,44.74
412,17/05/21,49.07
413,18/05/21,34.56
414,19/05/21,42.89
415,20/05/21,41.12
416,21/05/21,31.82
417,22/05/21,50.56
418,23/05/21,54.06
419,24/05/21,38.57
420,25/05/21,34.51
421,26/05/21,47.75
422,27/05/21,45.5
423,28/05/21,27.44
424,29/05/21,36.56
425,30/05/21,23.06
426,31/05/21,39.63
427,01/06/21,36.93
428,02/06/21,42.93
429,03/06/21,37.2
430,04/06/21,6.18
431,05/06/21,15.5
432,06/06/21,4.2
433,07/06/21,6.88
434,08/06/21,56.76
435,09/06/21,58.99
436,10/06/21,47.93
437,11/06/21,6.5
438,12/06/21,27.51
439,13/06/21,47.87
440,14/06/21,37.07
441,15/06/21,11.82
442,16/06/21,31.87
443,17/06/21,48.88
444,18/06/21,48.99
445,19/06/21,39.63
446,20/06/21,32.25
447,21/06/21,31.1
448,22/06/21,31.1
