Index,DT,A1
1,01/04/20,16.62
2,02/04/20,21.51
3,03/04/20,16.32
4,04/04/20,27.25
5,05/04/20,19.26
6,06/04/20,12.43
7,07/04/20,19.63
8,08/04/20,17.18
9,09/04/20,17.5
10,10/04/20,11.8
11,11/04/20,4.69
12,12/04/20,4.13
13,13/04/20,1.95
14,14/04/20,1.88
15,15/04/20,1.68
16,16/04/20,1.75
17,17/04/20,1.81
18,18/04/20,1.05
19,19/04/20,0.88
20,20/04/20,0.75
21,21/04/20,0.5
22,22/04/20,0.69
23,23/04/20,0.88
24,24/04/20,1.07
25,25/04/20,1.19
26,26/04/20,1.44
27,27/04/20,0.81
28,28/04/20,1.25
29,29/04/20,1.25
30,30/04/20,0.62
31,01/05/20,0.94
32,02/05/20,0.99
33,03/05/20,0.94
34,04/05/20,1.19
35,05/05/20,0.93
36,06/05/20,1.2
37,07/05/20,1.06
38,08/05/20,1.26
39,09/05/20,1.44
40,10/05/20,1.19
41,11/05/20,1.94
42,12/05/20,1.56
43,13/05/20,1.5
44,14/05/20,1.81
45,15/05/20,1.25
46,16/05/20,1.93
47,17/05/20,2.32
48,18/05/20,1.44
49,19/05/20,3.25
50,20/05/20,3.5
51,21/05/20,3.74
52,22/05/20,4.31
53,23/05/20,13.31
54,24/05/20,19.12
55,25/05/20,19.12
56,26/05/20,26.82
57,27/05/20,21.24
58,28/05/20,30.56
59,29/05/20,26
60,30/05/20,29.68
61,31/05/20,33.36
62,01/06/20,26.68
63,02/06/20,22.62
64,03/06/20,27.18
65,04/06/20,21.63
66,05/06/20,28.68
67,06/06/20,25.56
68,07/06/20,20.81
69,08/06/20,3.19
70,09/06/20,3.32
71,10/06/20,2.82
72,11/06/20,20.75
73,12/06/20,24.13
74,13/06/20,5.12
75,14/06/20,4.32
76,15/06/20,2.18
77,16/06/20,3.81
78,17/06/20,3.75
79,18/06/20,3.99
80,19/06/20,3.5
81,20/06/20,2.88
82,21/06/20,4.18
83,22/06/20,3.38
84,23/06/20,3.88
85,24/06/20,5.57
86,25/06/20,7.31
87,26/06/20,8.01
88,27/06/20,18
89,28/06/20,29.38
90,29/06/20,29.57
91,30/06/20,28.7
92,01/07/20,23.57
93,02/07/20,32.56
94,03/07/20,30.01
95,04/07/20,28.88
96,05/07/20,27.88
97,06/07/20,13.49
98,07/07/20,3.19
99,08/07/20,2.55
100,09/07/20,2.19
101,10/07/20,1.76
102,11/07/20,2.25
103,12/07/20,1.69
104,13/07/20,1.88
105,14/07/20,1.88
106,15/07/20,1.87
107,16/07/20,3.06
108,17/07/20,4.7
109,18/07/20,3.5
110,19/07/20,4.82
111,20/07/20,12.57
112,21/07/20,23.13
113,22/07/20,19.82
114,23/07/20,28.68
115,24/07/20,24.18
116,25/07/20,24.55
117,26/07/20,26.51
118,27/07/20,17.13
119,28/07/20,14.89
120,29/07/20,17.43
121,30/07/20,25.8
122,31/07/20,30.12
123,01/08/20,21.13
124,02/08/20,28.87
125,03/08/20,18.81
126,04/08/20,12.26
127,05/08/20,18.25
128,06/08/20,7.31
129,07/08/20,4.88
130,08/08/20,2.38
131,09/08/20,3.08
132,10/08/20,2.38
133,11/08/20,2.51
134,12/08/20,2.69
135,13/08/20,1.63
136,14/08/20,2.69
137,15/08/20,3
138,16/08/20,3.31
139,17/08/20,3.18
140,18/08/20,3.75
141,19/08/20,5.37
142,20/08/20,6.44
143,21/08/20,6.13
144,22/08/20,9.06
145,23/08/20,12.88
146,24/08/20,29.25
147,25/08/20,30.44
148,26/08/20,28.87
149,27/08/20,31.7
150,28/08/20,30.67
151,29/08/20,21.37
152,30/08/20,35.07
153,31/08/20,32.93
154,01/09/20,35.44
155,02/09/20,32.94
156,03/09/20,32.94
157,04/09/20,34.31
