Index,DT,A1
1,01/04/20,22.14
2,02/04/20,29.69
3,03/04/20,20.26
4,04/04/20,25.06
5,05/04/20,25
6,06/04/20,19.31
7,07/04/20,13
8,08/04/20,14.88
9,09/04/20,21.88
10,10/04/20,4.62
11,11/04/20,5.87
12,12/04/20,3.96
13,13/04/20,2.12
14,14/04/20,1.81
15,15/04/20,1.69
16,16/04/20,1.69
17,17/04/20,1.89
18,18/04/20,0.62
19,19/04/20,0.75
20,20/04/20,0.69
21,21/04/20,0.62
22,22/04/20,0.87
23,23/04/20,1.06
24,24/04/20,1.43
25,25/04/20,1.57
26,26/04/20,1.5
27,27/04/20,0.93
28,28/04/20,1.44
29,29/04/20,1.5
30,30/04/20,1.19
31,01/05/20,1.32
32,02/05/20,1.06
33,03/05/20,1.25
34,04/05/20,1.2
35,05/05/20,1.13
36,06/05/20,1.63
37,07/05/20,2
38,08/05/20,1.25
39,09/05/20,1.69
40,10/05/20,1.56
41,11/05/20,1.57
42,12/05/20,3.32
43,13/05/20,1.37
44,14/05/20,2
45,15/05/20,1.37
46,16/05/20,1.56
47,17/05/20,1.69
48,18/05/20,1.63
49,19/05/20,4.32
50,20/05/20,4.13
51,21/05/20,4.42
52,22/05/20,3.24
53,23/05/20,21
54,24/05/20,15.43
55,25/05/20,18.25
56,26/05/20,31.26
57,27/05/20,19.69
58,28/05/20,31.62
59,29/05/20,31.75
60,30/05/20,37.49
61,31/05/20,30.19
62,01/06/20,29.62
63,02/06/20,19.8
64,03/06/20,28.55
65,04/06/20,29.19
66,05/06/20,29.63
67,06/06/20,32.99
68,07/06/20,24.82
69,08/06/20,2.63
70,09/06/20,4.25
71,10/06/20,2.76
72,11/06/20,23.67
73,12/06/20,22.82
74,13/06/20,5.57
75,14/06/20,2.75
76,15/06/20,2.56
77,16/06/20,4.68
78,17/06/20,4.07
79,18/06/20,4.26
80,19/06/20,4.12
81,20/06/20,4.12
82,21/06/20,3.44
83,22/06/20,3.06
84,23/06/20,4.81
85,24/06/20,6.32
86,25/06/20,7.31
87,26/06/20,5.7
88,27/06/20,27.13
89,28/06/20,32.75
90,29/06/20,31.94
91,30/06/20,31.74
92,01/07/20,24.62
93,02/07/20,30.19
94,03/07/20,32.62
95,04/07/20,23.74
96,05/07/20,30
97,06/07/20,3.88
98,07/07/20,3.5
99,08/07/20,2.3
100,09/07/20,2
101,10/07/20,2.19
102,11/07/20,2.07
103,12/07/20,1.76
104,13/07/20,1.81
105,14/07/20,1.74
106,15/07/20,1.7
107,16/07/20,2.12
108,17/07/20,4.45
109,18/07/20,4.62
110,19/07/20,4.81
111,20/07/20,18.51
112,21/07/20,25.31
113,22/07/20,16.5
114,23/07/20,21.19
115,24/07/20,23.88
116,25/07/20,22.56
117,26/07/20,24.68
118,27/07/20,20.5
119,28/07/20,6.24
120,29/07/20,27.18
121,30/07/20,21.89
122,31/07/20,29.99
123,01/08/20,20.12
124,02/08/20,26.37
125,03/08/20,8.75
126,04/08/20,18.19
127,05/08/20,12.8
128,06/08/20,4.87
129,07/08/20,4.7
130,08/08/20,2.31
131,09/08/20,2.69
132,10/08/20,2.37
133,11/08/20,2.43
134,12/08/20,2.56
135,13/08/20,1.68
136,14/08/20,3.07
137,15/08/20,3.25
138,16/08/20,3.37
139,17/08/20,2.88
140,18/08/20,3.88
141,19/08/20,6
142,20/08/20,6.62
143,21/08/20,7.5
144,22/08/20,7.3
145,23/08/20,24.74
146,24/08/20,34.25
147,25/08/20,37.31
148,26/08/20,31.76
149,27/08/20,34.07
150,28/08/20,32.5
151,29/08/20,22.69
152,30/08/20,36.56
153,31/08/20,36.63
154,01/09/20,37.95
155,02/09/20,36.82
156,03/09/20,35.31
157,04/09/20,37.57
158,05/09/20,27.63
159,06/09/20,35.11
160,07/09/20,37.5
161,08/09/20,28.31
162,09/09/20,32.82
163,10/09/20,35.93
164,11/09/20,33.24
165,12/09/20,22.44
166,13/09/20,39.38
167,14/09/20,36.44
168,15/09/20,26.37
169,16/09/20,30.51
170,17/09/20,39.76
171,18/09/20,3.56
172,19/09/20,12.32
173,20/09/20,6.81
174,21/09/20,6.81
175,22/09/20,7
176,23/09/20,5.99
177,24/09/20,21.69
178,25/09/20,40.12
179,26/09/20,32.38
180,27/09/20,37.31
181,28/09/20,17.38
182,29/09/20,33.13
183,30/09/20,31.93
184,01/10/20,33.64
185,02/10/20,32.7
186,03/10/20,32.08
187,04/10/20,24.07
188,05/10/20,20.62
189,06/10/20,18.38
190,07/10/20,14.43
191,08/10/20,27.74
192,09/10/20,16.38
193,10/10/20,22.31
194,11/10/20,14.32
195,12/10/20,5.76
196,13/10/20,6.13
197,14/10/20,41.62
198,15/10/20,22.75
199,16/10/20,16.37
200,17/10/20,40.75
201,18/10/20,30.74
202,19/10/20,30.19
203,20/10/20,29.57
204,21/10/20,33.5
205,22/10/20,23.75
206,23/10/20,27.87
207,24/10/20,37.5
208,25/10/20,35.25
209,26/10/20,35.07
210,27/10/20,33.39
211,28/10/20,49.05
212,29/10/20,29.99
213,30/10/20,23.69
214,31/10/20,34.51
215,01/11/20,22.57
216,02/11/20,33.12
217,03/11/20,32.82
218,04/11/20,23.25
219,05/11/20,15.88
220,06/11/20,24.12
221,07/11/20,32.25
222,08/11/20,5.24
223,09/11/20,3.25
224,10/11/20,39.57
225,11/11/20,34.38
226,12/11/20,15.44
227,13/11/20,34.12
228,14/11/20,35.13
229,15/11/20,33.69
230,16/11/20,28.45
231,17/11/20,33.86
232,18/11/20,54.49
233,19/11/20,35.75
234,20/11/20,14.75
235,21/11/20,37.44
236,22/11/20,30.93
237,23/11/20,33.81
238,24/11/20,33
239,25/11/20,27.5
240,26/11/20,28.82
241,27/11/20,33
242,28/11/20,20.5
243,29/11/20,30.94
244,30/11/20,34.88
245,01/12/20,8.82
246,02/12/20,14.74
247,03/12/20,25.93
248,04/12/20,35.82
249,05/12/20,33.25
250,06/12/20,34.38
251,07/12/20,12.93
252,08/12/20,17.43
253,09/12/20,27.93
254,10/12/20,34.75
255,11/12/20,29.63
256,12/12/20,36
257,13/12/20,34.94
258,14/12/20,12.82
259,15/12/20,34.17
260,16/12/20,12.75
261,17/12/20,36.62
262,18/12/20,33.45
263,19/12/20,34.18
264,20/12/20,37.38
265,21/12/20,31.51
266,22/12/20,34.44
267,23/12/20,30.81
268,24/12/20,29.13
269,25/12/20,35.38
270,26/12/20,37.87
271,27/12/20,38.88
272,28/12/20,24.94
273,29/12/20,30.87
274,30/12/20,39.44
275,31/12/20,35.25
276,01/01/21,35.18
277,02/01/21,31.05
278,03/01/21,33.18
279,04/01/21,34.06
280,05/01/21,25.88
281,06/01/21,34.18
282,07/01/21,35.26
283,08/01/21,36.69
284,09/01/21,32.94
285,10/01/21,25.88
286,11/01/21,38
287,12/01/21,28.19
288,13/01/21,38.13
289,14/01/21,30.81
290,15/01/21,36.07
291,16/01/21,35.87
292,17/01/21,23.25
293,18/01/21,22.94
294,19/01/21,31.63
295,20/01/21,26.69
296,21/01/21,35.81
297,22/01/21,36.57
298,23/01/21,39
299,24/01/21,32.7
300,25/01/21,36.56
301,26/01/21,34.43
302,27/01/21,28.75
303,28/01/21,29.38
304,29/01/21,38.19
305,30/01/21,35.19
306,31/01/21,34.81
307,01/02/21,39.5
308,02/02/21,39.12
309,03/02/21,38.94
310,04/02/21,24.57
311,05/02/21,36.63
312,06/02/21,35.37
313,07/02/21,36.51
314,08/02/21,33.81
315,09/02/21,39.99
316,10/02/21,37.93
317,11/02/21,26.12
318,12/02/21,34.93
319,13/02/21,35.12
320,14/02/21,35.81
321,15/02/21,30.94
322,16/02/21,34.87
323,17/02/21,35.69
324,18/02/21,34.94
325,19/02/21,27.55
326,20/02/21,35.87
327,21/02/21,34.31
328,22/02/21,32.82
329,23/02/21,33.49
330,24/02/21,36.43
331,25/02/21,36.87
332,26/02/21,24.43
333,27/02/21,36.56
334,28/02/21,32.68
335,01/03/21,32.69
336,02/03/21,30.56
337,03/03/21,31.94
338,04/03/21,33.31
339,05/03/21,31.93
340,06/03/21,24.12
341,07/03/21,34.68
342,08/03/21,27.89
343,09/03/21,7.93
344,10/03/21,16.25
345,11/03/21,35.06
346,12/03/21,36.68
347,13/03/21,27.19
348,14/03/21,31.81
349,15/03/21,34.76
350,16/03/21,36.55
351,17/03/21,37.13
352,18/03/21,29.75
353,19/03/21,32.5
