Index,DT,A1
1,01/04/20,25.25
2,02/04/20,23.7
3,03/04/20,13.69
4,04/04/20,26.06
5,05/04/20,22
6,06/04/20,21.56
7,07/04/20,13.43
8,08/04/20,17.13
9,09/04/20,15.33
10,10/04/20,9.51
11,11/04/20,4.75
12,12/04/20,4.06
13,13/04/20,3.31
14,14/04/20,1.82
15,15/04/20,1.88
16,16/04/20,1.63
17,17/04/20,2.36
18,18/04/20,0.88
19,19/04/20,0.81
20,20/04/20,0.75
21,21/04/20,0.63
22,22/04/20,0.75
23,23/04/20,2.18
24,24/04/20,1.32
25,25/04/20,1.36
26,26/04/20,1.44
27,27/04/20,1.37
28,28/04/20,2.49
29,29/04/20,2.57
30,30/04/20,1.12
31,01/05/20,2.37
32,02/05/20,2.19
33,03/05/20,1.06
34,04/05/20,1
35,05/05/20,1.17
36,06/05/20,1.43
37,07/05/20,1.25
38,08/05/20,1.37
39,09/05/20,1.43
40,10/05/20,0.93
41,11/05/20,1.57
42,12/05/20,1.62
43,13/05/20,2.12
44,14/05/20,1.56
45,15/05/20,1.31
46,16/05/20,2.24
47,17/05/20,1.82
48,18/05/20,1.49
49,19/05/20,5.06
50,20/05/20,3.69
51,21/05/20,3.49
52,22/05/20,4.44
53,23/05/20,11.56
54,24/05/20,17.49
55,25/05/20,17.13
56,26/05/20,32.57
57,27/05/20,15.94
58,28/05/20,25.13
59,29/05/20,27.06
60,30/05/20,31.63
61,31/05/20,26.5
62,01/06/20,23.94
63,02/06/20,17.18
64,03/06/20,25.14
65,04/06/20,30.75
66,05/06/20,20.38
67,06/06/20,27.68
68,07/06/20,33.63
69,08/06/20,3.95
70,09/06/20,3.38
71,10/06/20,3.43
72,11/06/20,20.73
73,12/06/20,22.68
74,13/06/20,5.31
75,14/06/20,2.57
76,15/06/20,4.44
77,16/06/20,4
78,17/06/20,4.19
79,18/06/20,4.31
80,19/06/20,3.07
81,20/06/20,2.25
82,21/06/20,3.56
83,22/06/20,3.32
84,23/06/20,5.37
85,24/06/20,5.69
86,25/06/20,7
87,26/06/20,7.88
88,27/06/20,24.99
89,28/06/20,31.74
90,29/06/20,29.37
91,30/06/20,34.12
92,01/07/20,16.69
93,02/07/20,30.31
94,03/07/20,28.56
95,04/07/20,28.12
96,05/07/20,36.88
97,06/07/20,7.57
98,07/07/20,3.19
99,08/07/20,2.49
100,09/07/20,2.12
101,10/07/20,2.37
102,11/07/20,2.38
103,12/07/20,1.75
104,13/07/20,1.88
105,14/07/20,2.01
106,15/07/20,1.82
107,16/07/20,4.94
108,17/07/20,5
109,18/07/20,3.37
110,19/07/20,4.94
111,20/07/20,20.74
112,21/07/20,24.99
113,22/07/20,14.43
114,23/07/20,20.12
115,24/07/20,28.12
116,25/07/20,22.8
117,26/07/20,24.12
118,27/07/20,17.87
119,28/07/20,7.69
120,29/07/20,14.81
121,30/07/20,22.01
122,31/07/20,26.98
123,01/08/20,17.24
124,02/08/20,22.19
125,03/08/20,14.12
126,04/08/20,13.5
127,05/08/20,12.81
128,06/08/20,4.74
129,07/08/20,3.87
130,08/08/20,3.18
131,09/08/20,2.68
132,10/08/20,2.88
133,11/08/20,2.01
134,12/08/20,2.75
135,13/08/20,2.69
136,14/08/20,3.37
137,15/08/20,3.39
138,16/08/20,3.19
139,17/08/20,3.25
140,18/08/20,4.13
141,19/08/20,3.38
142,20/08/20,7.44
143,21/08/20,7.19
144,22/08/20,15.13
145,23/08/20,23.14
146,24/08/20,31.12
147,25/08/20,32.38
148,26/08/20,27.94
149,27/08/20,32.06
150,28/08/20,30.74
151,29/08/20,17.27
152,30/08/20,34.25
153,31/08/20,34.99
154,01/09/20,33.57
155,02/09/20,27.76
156,03/09/20,35.57
157,04/09/20,35.5
158,05/09/20,18.06
159,06/09/20,23.68
160,07/09/20,14.18
161,08/09/20,29.94
162,09/09/20,34
163,10/09/20,30.93
164,11/09/20,34.44
165,12/09/20,21.31
166,13/09/20,26.38
167,14/09/20,35.12
168,15/09/20,36.12
169,16/09/20,45.62
170,17/09/20,38.13
171,18/09/20,5.36
172,19/09/20,18.84
173,20/09/20,7.12
174,21/09/20,7.06
175,22/09/20,7.12
176,23/09/20,6.76
177,24/09/20,10.56
178,25/09/20,33.75
179,26/09/20,26.51
180,27/09/20,33.49
181,28/09/20,15.74
182,29/09/20,32.93
183,30/09/20,32.26
184,01/10/20,29.62
185,02/10/20,27.93
186,03/10/20,23.81
187,04/10/20,33.38
188,05/10/20,11.38
189,06/10/20,17.24
190,07/10/20,15.75
191,08/10/20,32.8
192,09/10/20,30.63
193,10/10/20,29.88
194,11/10/20,24.57
195,12/10/20,4.75
196,13/10/20,8.82
197,14/10/20,38.88
198,15/10/20,17.07
199,16/10/20,14.44
200,17/10/20,25.76
201,18/10/20,39.64
202,19/10/20,23.25
203,20/10/20,34.49
204,21/10/20,38.62
205,22/10/20,29.75
206,23/10/20,22.38
207,24/10/20,36.31
208,25/10/20,35.5
209,26/10/20,30.12
210,27/10/20,32.8
211,28/10/20,29.74
212,29/10/20,35.12
213,30/10/20,18.19
214,31/10/20,32.25
215,01/11/20,30.81
216,02/11/20,28.24
217,03/11/20,29.62
218,04/11/20,22.19
219,05/11/20,12.63
220,06/11/20,22.44
221,07/11/20,24.81
222,08/11/20,8.37
223,09/11/20,15.94
224,10/11/20,34.18
225,11/11/20,39.31
226,12/11/20,17.94
227,13/11/20,34.7
228,14/11/20,26.57
229,15/11/20,25.5
230,16/11/20,29.69
231,17/11/20,27.37
232,18/11/20,33.44
233,19/11/20,31.63
234,20/11/20,21.88
235,21/11/20,26.69
236,22/11/20,30.56
237,23/11/20,27.93
238,24/11/20,27.99
239,25/11/20,33.74
240,26/11/20,29.5
241,27/11/20,34.63
242,28/11/20,16.07
243,29/11/20,31.19
244,30/11/20,32.68
245,01/12/20,14.08
246,02/12/20,19.06
247,03/12/20,28.81
248,04/12/20,31.13
249,05/12/20,35.18
250,06/12/20,35.12
251,07/12/20,13.33
252,08/12/20,15.43
253,09/12/20,25.75
254,10/12/20,24.62
255,11/12/20,30.39
256,12/12/20,34.75
257,13/12/20,36.44
258,14/12/20,15.19
259,15/12/20,34.43
260,16/12/20,23.68
261,17/12/20,34
262,18/12/20,31.69
263,19/12/20,35.56
264,20/12/20,33.05
265,21/12/20,25.69
266,22/12/20,30.75
267,23/12/20,24.88
268,24/12/20,35.31
269,25/12/20,32.12
270,26/12/20,36.44
271,27/12/20,46.37
272,28/12/20,18.44
273,29/12/20,41.01
274,30/12/20,36.12
275,31/12/20,26.32
276,01/01/21,32.06
277,02/01/21,26.36
278,03/01/21,32.07
279,04/01/21,33.11
280,05/01/21,21.51
281,06/01/21,34.76
282,07/01/21,33.07
283,08/01/21,35.44
284,09/01/21,29.18
285,10/01/21,38.81
286,11/01/21,34.88
287,12/01/21,22.13
288,13/01/21,34.19
289,14/01/21,37.25
290,15/01/21,37.81
291,16/01/21,30.07
292,17/01/21,23.38
293,18/01/21,31.18
294,19/01/21,30.62
295,20/01/21,26.44
296,21/01/21,34.75
297,22/01/21,34.12
298,23/01/21,31.82
299,24/01/21,23.76
300,25/01/21,26.12
301,26/01/21,31.06
302,27/01/21,28.18
303,28/01/21,29.33
304,29/01/21,38.24
305,30/01/21,38.69
306,31/01/21,29.18
307,01/02/21,34.87
308,02/02/21,37.06
309,03/02/21,33.8
310,04/02/21,19.5
311,05/02/21,34.44
312,06/02/21,34.13
313,07/02/21,33.13
314,08/02/21,28.25
315,09/02/21,23.32
316,10/02/21,35.37
317,11/02/21,29
