Index,DT,A1
268,24/12/20,38.63
269,25/12/20,34.88
270,26/12/20,38.06
271,27/12/20,30.7
272,28/12/20,18.93
273,29/12/20,37.31
274,30/12/20,41.44
275,31/12/20,34.06
276,01/01/21,35
277,02/01/21,31.75
278,03/01/21,34.94
279,04/01/21,32.26
280,05/01/21,25.56
281,06/01/21,33.87
282,07/01/21,34.05
283,08/01/21,34.69
284,09/01/21,35.56
285,10/01/21,35.64
286,11/01/21,37.18
287,12/01/21,27.8
288,13/01/21,36.63
289,14/01/21,38.13
290,15/01/21,34.12
291,16/01/21,35.62
292,17/01/21,23.68
293,18/01/21,33.95
294,19/01/21,31.19
295,20/01/21,28.19
296,21/01/21,33.37
297,22/01/21,35.75
298,23/01/21,43.74
299,24/01/21,32.87
300,25/01/21,21.76
301,26/01/21,34.2
302,27/01/21,36.81
303,28/01/21,24.87
304,29/01/21,35.88
305,30/01/21,35.36
306,31/01/21,37.18
307,01/02/21,37.12
308,02/02/21,38.06
309,03/02/21,35.53
310,04/02/21,28.62
311,05/02/21,37.37
312,06/02/21,34.57
313,07/02/21,36.12
314,08/02/21,37.57
315,09/02/21,26.69
316,10/02/21,38.07
317,11/02/21,28.38
318,12/02/21,32.36
319,13/02/21,35.94
320,14/02/21,33.38
321,15/02/21,36.82
322,16/02/21,35.8
323,17/02/21,41.55
324,18/02/21,29.45
325,19/02/21,24.32
326,20/02/21,34.94
327,21/02/21,29.68
328,22/02/21,32.68
329,23/02/21,30.31
330,24/02/21,38.57
331,25/02/21,37.74
332,26/02/21,25.42
333,27/02/21,33.56
334,28/02/21,34.56
335,01/03/21,33.12
336,02/03/21,31.5
337,03/03/21,30.45
338,04/03/21,32.18
339,05/03/21,34.44
340,06/03/21,21.75
341,07/03/21,38.63
342,08/03/21,41.75
343,09/03/21,23.13
344,10/03/21,15.37
345,11/03/21,35.81
346,12/03/21,37.43
347,13/03/21,28.95
348,14/03/21,14.56
349,15/03/21,36.37
350,16/03/21,34.87
351,17/03/21,35.87
352,18/03/21,33.01
353,19/03/21,32.76
354,20/03/21,20.68
355,21/03/21,32.87
356,22/03/21,30.94
357,23/03/21,30.95
358,24/03/21,29.62
359,25/03/21,32.25
360,26/03/21,30.5
361,27/03/21,24.94
362,28/03/21,26.62
363,29/03/21,34.18
364,30/03/21,34.06
365,31/03/21,34.63
366,01/04/21,35.11
367,02/04/21,34.62
368,03/04/21,16.06
369,04/04/21,33.8
370,05/04/21,34.43
371,06/04/21,32.06
372,07/04/21,36.81
373,08/04/21,32
374,09/04/21,32.19
375,10/04/21,48.31
376,11/04/21,51.82
377,12/04/21,18.56
378,13/04/21,58.63
379,14/04/21,57.06
380,15/04/21,55.81
381,16/04/21,37.81
382,17/04/21,59.62
383,18/04/21,56.19
384,19/04/21,26.07
385,20/04/21,49.69
386,21/04/21,50.76
387,22/04/21,46.25
388,23/04/21,36.69
389,24/04/21,47.68
390,25/04/21,46.63
391,26/04/21,48.75
392,27/04/21,47.68
393,28/04/21,24.01
394,29/04/21,50.8
395,30/04/21,35.87
396,01/05/21,53.43
397,02/05/21,58.24
398,03/05/21,53.88
399,04/05/21,30.19
400,05/05/21,45.57
401,06/05/21,40.18
402,07/05/21,31.68
403,08/05/21,41.82
404,09/05/21,46.75
405,10/05/21,49.12
406,11/05/21,43.13
407,12/05/21,50.88
408,13/05/21,47.94
409,14/05/21,35.63
410,15/05/21,48.51
411,16/05/21,44.68
412,17/05/21,45.05
413,18/05/21,47
414,19/05/21,40.32
415,20/05/21,46.24
416,21/05/21,41
417,22/05/21,48.43
418,23/05/21,55.45
419,24/05/21,53.69
420,25/05/21,56.44
421,26/05/21,49.94
422,27/05/21,42.44
423,28/05/21,22.01
424,29/05/21,57.06
425,30/05/21,15.57
426,31/05/21,15.25
427,01/06/21,53.06
428,02/06/21,43.24
429,03/06/21,43.99
430,04/06/21,7.94
431,05/06/21,14.94
432,06/06/21,5.74
433,07/06/21,5.31
434,08/06/21,51.75
435,09/06/21,45.13
436,10/06/21,52.06
437,11/06/21,19.5
438,12/06/21,34.99
439,13/06/21,50.31
440,14/06/21,51.7
441,15/06/21,20.06
442,16/06/21,28.19
443,17/06/21,47.07
444,18/06/21,47
445,19/06/21,37.88
446,20/06/21,31.19
447,21/06/21,32.73
448,22/06/21,32.73
449,23/06/21,32.73
450,24/06/21,52.8
451,25/06/21,51
452,26/06/21,59.19
453,27/06/21,59.63
454,28/06/21,45.32
455,29/06/21,18.99
456,30/06/21,9.57
457,01/07/21,56.36
458,02/07/21,51.06
459,03/07/21,38.25
460,04/07/21,57.12
461,05/07/21,52.19
462,06/07/21,40.5
463,07/07/21,48.81
464,08/07/21,43.69
465,09/07/21,47.25
466,10/07/21,44.12
467,11/07/21,45.57
468,12/07/21,24.63
469,13/07/21,25.69
470,14/07/21,56.12
471,15/07/21,52.75
472,16/07/21,36.07
473,17/07/21,6.5
474,18/07/21,4.7
475,19/07/21,4.87
476,20/07/21,3.81
477,21/07/21,4.18
478,22/07/21,2.75
479,23/07/21,4.75
480,24/07/21,4.37
481,25/07/21,4.88
482,26/07/21,5.06
483,27/07/21,6.37
484,28/07/21,7.57
485,29/07/21,8.18
486,30/07/21,15.69
487,31/07/21,47.25
488,01/08/21,51.19
489,02/08/21,44.69
490,03/08/21,50.93
491,04/08/21,47.44
492,05/08/21,47.62
493,06/08/21,29.5
494,07/08/21,46.63
495,08/08/21,54.43
496,09/08/21,44.45
497,10/08/21,39.55
498,11/08/21,60.25
499,12/08/21,62.31
500,13/08/21,37.5
501,14/08/21,38.38
502,15/08/21,55.13
503,16/08/21,49.82
504,17/08/21,35.07
505,18/08/21,52.2
506,19/08/21,53.13
507,20/08/21,34.87
508,21/08/21,46.5
509,22/08/21,40.31
510,23/08/21,29.49
511,24/08/21,51.43
512,25/08/21,58.26
513,26/08/21,41.56
514,27/08/21,54.18
515,28/08/21,32.45
516,29/08/21,52.75
517,30/08/21,53.06
518,31/08/21,52.31
519,01/09/21,29.44
520,02/09/21,53.37
521,03/09/21,7.5
522,04/09/21,49.38
523,05/09/21,54.25
524,06/09/21,48.69
525,07/09/21,51.32
526,08/09/21,56.68
527,09/09/21,55.93
528,10/09/21,55.5
529,11/09/21,47.81
530,12/09/21,62.25
531,13/09/21,59.06
532,14/09/21,53.63
533,15/09/21,59.06
