Index,DT,A1
1,01/04/20,20.31
2,02/04/20,27
3,03/04/20,18.37
4,04/04/20,23.06
5,05/04/20,21.89
6,06/04/20,20.5
7,07/04/20,6.88
8,08/04/20,16.25
9,09/04/20,23.63
10,10/04/20,5.11
11,11/04/20,4.63
12,12/04/20,3.8
13,13/04/20,2.25
14,14/04/20,2.31
15,15/04/20,1.82
16,16/04/20,1.55
17,17/04/20,1.56
18,18/04/20,0.88
19,19/04/20,0.82
20,20/04/20,2
21,21/04/20,0.51
22,22/04/20,0.76
23,23/04/20,1.26
24,24/04/20,1.25
25,25/04/20,1.55
26,26/04/20,1.44
27,27/04/20,1
28,28/04/20,1.38
29,29/04/20,1.2
30,30/04/20,1.13
31,01/05/20,1.05
32,02/05/20,1.19
33,03/05/20,0.88
34,04/05/20,0.99
35,05/05/20,1.06
36,06/05/20,1.68
37,07/05/20,1.06
38,08/05/20,0.81
39,09/05/20,1.56
40,10/05/20,1.87
41,11/05/20,1.56
42,12/05/20,1.49
43,13/05/20,1.31
44,14/05/20,1.38
45,15/05/20,1.31
46,16/05/20,2
47,17/05/20,1.31
48,18/05/20,1.43
49,19/05/20,3.63
50,20/05/20,4.74
51,21/05/20,3.51
52,22/05/20,5.69
53,23/05/20,16.87
54,24/05/20,20.32
55,25/05/20,19.31
56,26/05/20,34.43
57,27/05/20,17.07
58,28/05/20,26.19
59,29/05/20,31.56
60,30/05/20,34.19
61,31/05/20,29.25
62,01/06/20,30.62
63,02/06/20,20
64,03/06/20,28.62
65,04/06/20,28.56
66,05/06/20,28.56
67,06/06/20,33.32
68,07/06/20,26.81
69,08/06/20,2.44
70,09/06/20,3.43
71,10/06/20,3.31
72,11/06/20,24.68
73,12/06/20,18.93
74,13/06/20,6.31
75,14/06/20,2.37
76,15/06/20,2
77,16/06/20,3.75
78,17/06/20,3.62
79,18/06/20,3.99
80,19/06/20,4.31
81,20/06/20,3.32
82,21/06/20,3.31
83,22/06/20,3.25
84,23/06/20,3.5
85,24/06/20,5.3
86,25/06/20,5.64
87,26/06/20,6.31
88,27/06/20,25.87
89,28/06/20,30.45
90,29/06/20,26.99
91,30/06/20,21.32
92,01/07/20,20.5
93,02/07/20,31.38
94,03/07/20,17.38
95,04/07/20,20.12
96,05/07/20,35.56
97,06/07/20,4.31
98,07/07/20,2.57
99,08/07/20,1.81
100,09/07/20,2.06
101,10/07/20,2.94
102,11/07/20,2.31
103,12/07/20,1.68
104,13/07/20,1.75
105,14/07/20,3
106,15/07/20,1.8
107,16/07/20,2.37
108,17/07/20,4.68
109,18/07/20,5.8
110,19/07/20,4.49
111,20/07/20,26.05
112,21/07/20,27.57
113,22/07/20,14.44
114,23/07/20,24.44
115,24/07/20,19.5
116,25/07/20,21.81
117,26/07/20,26.38
118,27/07/20,24.93
119,28/07/20,10.07
120,29/07/20,26.13
121,30/07/20,19.49
122,31/07/20,26.45
123,01/08/20,21.06
124,02/08/20,19.26
125,03/08/20,7.43
126,04/08/20,17.55
127,05/08/20,13.44
128,06/08/20,5.07
129,07/08/20,4.56
130,08/08/20,4.26
131,09/08/20,2.12
132,10/08/20,2.44
133,11/08/20,2.37
134,12/08/20,2.69
135,13/08/20,3.45
136,14/08/20,2.68
137,15/08/20,3.13
138,16/08/20,2.94
139,17/08/20,3
140,18/08/20,3.55
141,19/08/20,5.43
142,20/08/20,5.88
143,21/08/20,6.13
144,22/08/20,9.95
145,23/08/20,22.43
146,24/08/20,32.56
147,25/08/20,31.14
148,26/08/20,23.68
149,27/08/20,29.68
150,28/08/20,32.49
151,29/08/20,17.13
152,30/08/20,30.19
153,31/08/20,34.81
154,01/09/20,36.42
155,02/09/20,23.56
156,03/09/20,35.62
157,04/09/20,32.25
158,05/09/20,24.43
159,06/09/20,36.37
160,07/09/20,30.57
161,08/09/20,26.88
162,09/09/20,33.07
163,10/09/20,28.37
164,11/09/20,29.93
165,12/09/20,22.32
166,13/09/20,36.31
167,14/09/20,37.44
168,15/09/20,22.57
169,16/09/20,29.24
170,17/09/20,38.06
171,18/09/20,3.57
172,19/09/20,11.38
173,20/09/20,6.76
174,21/09/20,6.43
175,22/09/20,7.43
176,23/09/20,7.38
177,24/09/20,27.06
178,25/09/20,38.44
179,26/09/20,33.31
180,27/09/20,27.44
181,28/09/20,16.05
182,29/09/20,32.56
183,30/09/20,34.13
184,01/10/20,31.73
185,02/10/20,26.74
186,03/10/20,32.88
187,04/10/20,26.44
188,05/10/20,27.06
189,06/10/20,15.62
190,07/10/20,16.75
191,08/10/20,28.07
192,09/10/20,21.82
193,10/10/20,21.31
194,11/10/20,15
195,12/10/20,4.5
196,13/10/20,6.62
197,14/10/20,24.94
198,15/10/20,16.37
199,16/10/20,16.13
200,17/10/20,34.63
201,18/10/20,29.19
202,19/10/20,33.56
203,20/10/20,30
204,21/10/20,48.88
205,22/10/20,24
206,23/10/20,24.56
207,24/10/20,33.99
208,25/10/20,33.18
209,26/10/20,24.05
210,27/10/20,30.74
211,28/10/20,36.52
212,29/10/20,25.57
213,30/10/20,20.69
214,31/10/20,32.37
215,01/11/20,25.24
216,02/11/20,27.18
217,03/11/20,32.87
218,04/11/20,20.89
219,05/11/20,10.44
220,06/11/20,21.31
221,07/11/20,28.01
222,08/11/20,5.56
223,09/11/20,3.37
224,10/11/20,34.06
225,11/11/20,34.25
226,12/11/20,15.06
227,13/11/20,34.26
228,14/11/20,34.68
229,15/11/20,31.93
230,16/11/20,28.19
231,17/11/20,32.32
232,18/11/20,23
233,19/11/20,35.12
234,20/11/20,20.43
235,21/11/20,33.93
236,22/11/20,23.13
237,23/11/20,30.32
238,24/11/20,32.56
239,25/11/20,32.94
240,26/11/20,29.81
241,27/11/20,30.38
242,28/11/20,21.68
243,29/11/20,30.19
244,30/11/20,36.93
245,01/12/20,12.94
246,02/12/20,15.87
247,03/12/20,23.45
248,04/12/20,34.87
249,05/12/20,36.18
250,06/12/20,36.31
251,07/12/20,12.57
252,08/12/20,17.19
253,09/12/20,25.81
254,10/12/20,29.87
255,11/12/20,29.3
256,12/12/20,38.25
257,13/12/20,35.2
258,14/12/20,12
259,15/12/20,32.76
260,16/12/20,10.88
261,17/12/20,34.43
262,18/12/20,33.37
263,19/12/20,35.93
264,20/12/20,37.31
265,21/12/20,27.62
266,22/12/20,29.18
267,23/12/20,28.13
268,24/12/20,38
269,25/12/20,30.94
270,26/12/20,39.12
271,27/12/20,38.5
272,28/12/20,23.75
273,29/12/20,31.75
274,30/12/20,38.38
275,31/12/20,33.93
276,01/01/21,34.19
277,02/01/21,21.51
278,03/01/21,34
279,04/01/21,35.25
280,05/01/21,22.13
281,06/01/21,35.13
282,07/01/21,36.44
283,08/01/21,36.31
284,09/01/21,32.57
285,10/01/21,38.06
286,11/01/21,39.07
287,12/01/21,27.63
288,13/01/21,33.25
289,14/01/21,30.38
290,15/01/21,38.94
291,16/01/21,28.38
292,17/01/21,21.37
293,18/01/21,22.87
294,19/01/21,35.49
295,20/01/21,24.5
296,21/01/21,35.81
297,22/01/21,36.37
298,23/01/21,30.88
299,24/01/21,30.5
300,25/01/21,34.44
301,26/01/21,31.33
302,27/01/21,27.63
303,28/01/21,28.37
304,29/01/21,39.43
305,30/01/21,32.81
306,31/01/21,30.13
307,01/02/21,36.88
308,02/02/21,40.76
309,03/02/21,35
310,04/02/21,19.25
311,05/02/21,35.56
312,06/02/21,36.83
313,07/02/21,31.25
314,08/02/21,32.81
315,09/02/21,42.2
316,10/02/21,38.5
317,11/02/21,24.69
318,12/02/21,35.82
319,13/02/21,33.06
320,14/02/21,26.44
321,15/02/21,29.57
322,16/02/21,35.69
323,17/02/21,22.01
324,18/02/21,34.68
325,19/02/21,27.82
326,20/02/21,34.94
327,21/02/21,37.44
328,22/02/21,32.38
329,23/02/21,35.2
330,24/02/21,29.82
331,25/02/21,35.75
332,26/02/21,21.63
333,27/02/21,34.81
334,28/02/21,35.94
335,01/03/21,33.75
336,02/03/21,29.19
337,03/03/21,35.18
338,04/03/21,33.68
339,05/03/21,30.94
340,06/03/21,25
341,07/03/21,36.68
342,08/03/21,27
343,09/03/21,10.82
344,10/03/21,16.56
345,11/03/21,31.94
346,12/03/21,37.57
347,13/03/21,24.81
348,14/03/21,28.18
349,15/03/21,36.81
350,16/03/21,37.08
351,17/03/21,33.63
352,18/03/21,27.63
353,19/03/21,33.51
354,20/03/21,22.07
355,21/03/21,31.62
356,22/03/21,31.12
357,23/03/21,32.07
358,24/03/21,25.49
359,25/03/21,34.5
360,26/03/21,30.38
361,27/03/21,22.62
362,28/03/21,34.44
363,29/03/21,30.13
364,30/03/21,28.94
365,31/03/21,30.36
366,01/04/21,37.5
367,02/04/21,31.44
368,03/04/21,23.13
369,04/04/21,30.69
370,05/04/21,33.13
371,06/04/21,27.25
372,07/04/21,28.56
373,08/04/21,26.12
374,09/04/21,34.88
375,10/04/21,55.81
376,11/04/21,51.57
377,12/04/21,27.32
378,13/04/21,55.44
379,14/04/21,63.82
380,15/04/21,52.19
381,16/04/21,37.13
382,17/04/21,57.51
383,18/04/21,59.06
384,19/04/21,37.81
385,20/04/21,42.31
386,21/04/21,52.13
387,22/04/21,50.5
388,23/04/21,35.38
389,24/04/21,53.5
390,25/04/21,48.49
391,26/04/21,41.63
392,27/04/21,37.5
393,28/04/21,50.26
394,29/04/21,46.74
395,30/04/21,29
396,01/05/21,57.62
397,02/05/21,47.38
398,03/05/21,46.88
399,04/05/21,35.56
400,05/05/21,46.43
401,06/05/21,48.5
402,07/05/21,32.25
403,08/05/21,47.63
404,09/05/21,37.94
405,10/05/21,38.75
406,11/05/21,35.57
407,12/05/21,47.57
408,13/05/21,57.07
409,14/05/21,32.19
410,15/05/21,42.18
411,16/05/21,45.38
412,17/05/21,44.86
413,18/05/21,32.57
414,19/05/21,42.87
415,20/05/21,42.94
416,21/05/21,35.76
417,22/05/21,59.18
418,23/05/21,50.94
419,24/05/21,42.82
420,25/05/21,34.74
421,26/05/21,43.75
422,27/05/21,46.63
423,28/05/21,31.87
424,29/05/21,32
425,30/05/21,22.82
426,31/05/21,35.88
427,01/06/21,34.76
428,02/06/21,37.38
429,03/06/21,33.68
430,04/06/21,6.63
431,05/06/21,21.44
432,06/06/21,5.5
433,07/06/21,6.44
434,08/06/21,53.44
435,09/06/21,40.19
436,10/06/21,54.31
437,11/06/21,8.13
438,12/06/21,36
439,13/06/21,51
440,14/06/21,44.12
441,15/06/21,6.18
442,16/06/21,31.01
443,17/06/21,48.94
444,18/06/21,41.45
445,19/06/21,46.44
446,20/06/21,42.05
447,21/06/21,31.42
448,22/06/21,31.42
449,23/06/21,8.81
450,24/06/21,51.75
451,25/06/21,50.87
452,26/06/21,50.82
453,27/06/21,49.25
454,28/06/21,58.5
455,29/06/21,19.07
456,30/06/21,32.06
457,01/07/21,55.88
458,02/07/21,56.62
459,03/07/21,38.31
460,04/07/21,48.44
461,05/07/21,50.31
462,06/07/21,32.44
463,07/07/21,48.13
464,08/07/21,49.44
465,09/07/21,47.18
466,10/07/21,39.01
467,11/07/21,47.69
468,12/07/21,22.82
469,13/07/21,27.24
470,14/07/21,56.38
471,15/07/21,59.06
472,16/07/21,55.43
473,17/07/21,5.88
474,18/07/21,4.18
475,19/07/21,4.8
476,20/07/21,4.44
477,21/07/21,4.07
478,22/07/21,4.43
479,23/07/21,4.37
480,24/07/21,4.19
481,25/07/21,4.5
482,26/07/21,5
483,27/07/21,7.98
484,28/07/21,7.49
485,29/07/21,11.18
486,30/07/21,38.75
487,31/07/21,50.63
488,01/08/21,41.07
489,02/08/21,41.44
490,03/08/21,36.25
491,04/08/21,45.44
492,05/08/21,47.37
493,06/08/21,21.93
494,07/08/21,35.87
495,08/08/21,53.25
496,09/08/21,39.12
497,10/08/21,27
498,11/08/21,57.19
499,12/08/21,52.31
500,13/08/21,21.25
501,14/08/21,19.82
502,15/08/21,51.93
503,16/08/21,42.38
504,17/08/21,59.55
505,18/08/21,53.45
506,19/08/21,52.38
507,20/08/21,31.75
508,21/08/21,43.07
509,22/08/21,44.69
510,23/08/21,31.81
511,24/08/21,39.12
512,25/08/21,55.33
513,26/08/21,55.25
514,27/08/21,51.31
515,28/08/21,27
516,29/08/21,49.76
517,30/08/21,49.87
518,31/08/21,47
519,01/09/21,37.7
520,02/09/21,41.94
521,03/09/21,35.74
522,04/09/21,55.26
523,05/09/21,52
524,06/09/21,50.94
525,07/09/21,46.13
526,08/09/21,57
527,09/09/21,57.01
528,10/09/21,57.74
529,11/09/21,46.06
530,12/09/21,60.05
531,13/09/21,54.81
532,14/09/21,46.12
533,15/09/21,40.74
534,16/09/21,51
535,17/09/21,38.93
536,18/09/21,52.26
537,19/09/21,45.37
538,20/09/21,50.38
539,21/09/21,47.94
540,22/09/21,47.88
541,23/09/21,51.24
542,24/09/21,35.25
543,25/09/21,39.75
544,26/09/21,42.51
545,27/09/21,4.69
546,28/09/21,29.99
547,29/09/21,18.1
548,30/09/21,3.75
549,01/10/21,41.44
550,02/10/21,29.51
551,03/10/21,49.13
552,04/10/21,18.62
553,05/10/21,37.62
554,06/10/21,49.12
555,07/10/21,52.07
556,08/10/21,31
557,09/10/21,20.25
558,10/10/21,36.12
559,11/10/21,37.75
560,12/10/21,21.26
561,13/10/21,38.63
562,14/10/21,38.75
563,15/10/21,36.07
564,16/10/21,35.57
565,17/10/21,31.24
566,18/10/21,50.81
567,19/10/21,26.68
568,20/10/21,36.19
569,21/10/21,25.56
570,22/10/21,35.07
571,23/10/21,53.5
572,24/10/21,54.75
573,25/10/21,49.05
574,26/10/21,44.99
575,27/10/21,39.18
576,28/10/21,21.57
577,29/10/21,11.12
578,30/10/21,8.12
579,31/10/21,43.69
580,01/11/21,39.13
581,02/11/21,37.56
582,03/11/21,12.94
583,04/11/21,33
584,05/11/21,25.37
585,06/11/21,8.43
586,07/11/21,14.18
587,08/11/21,20.82
588,09/11/21,32.68
589,10/11/21,21.37
590,11/11/21,39.56
591,12/11/21,49.07
592,13/11/21,23.86
593,14/11/21,36.81
594,15/11/21,38.18
595,16/11/21,54.3
596,17/11/21,35.31
597,18/11/21,40.26
598,19/11/21,45.75
599,20/11/21,22.56
600,21/11/21,37.69
601,22/11/21,46.76
602,23/11/21,26.19
603,24/11/21,23.07
604,25/11/21,20.31
605,26/11/21,27.82
606,27/11/21,42.5
607,28/11/21,32.44
608,29/11/21,45
609,30/11/21,15.57
610,01/12/21,38.49
611,02/12/21,33.8
612,03/12/21,40.12
613,04/12/21,38.56
614,05/12/21,49.43
615,06/12/21,48.43
616,07/12/21,43.75
617,08/12/21,56.2
618,09/12/21,50.56
619,10/12/21,27.06
620,11/12/21,51.74
621,12/12/21,60.57
622,13/12/21,54.69
623,14/12/21,31.62
624,15/12/21,22.37
625,16/12/21,37.7
626,17/12/21,28.06
627,18/12/21,39.32
628,19/12/21,42.88
629,20/12/21,35.44
630,21/12/21,38.01
631,22/12/21,38.11
632,23/12/21,39.25
633,24/12/21,38.75
634,25/12/21,54.81
635,26/12/21,33.06
636,27/12/21,45.26
637,28/12/21,43.44
638,29/12/21,55.63
639,30/12/21,36.63
640,31/12/21,50.25
641,01/01/22,26.63
642,02/01/22,42.06
643,03/01/22,40.43
644,04/01/22,41.19
645,05/01/22,41.31
646,06/01/22,37.18
647,07/01/22,41.63
648,08/01/22,35.18
649,09/01/22,46.7
650,10/01/22,36.5
651,11/01/22,62.49
652,12/01/22,51.81
653,13/01/22,50.7
654,14/01/22,43.44
655,15/01/22,59.93
656,16/01/22,61.32
657,17/01/22,31.8
658,18/01/22,56
659,19/01/22,56.01
660,20/01/22,47.7
661,21/01/22,41.25
662,22/01/22,58.32
663,23/01/22,56.08
664,24/01/22,50.51
665,25/01/22,31.32
666,26/01/22,53.44
667,27/01/22,34.95
668,28/01/22,31.94
669,29/01/22,42.74
670,30/01/22,45.06
671,31/01/22,46.06
672,01/02/22,5.44
673,02/02/22,5.69
674,03/02/22,4.74
675,04/02/22,4.95
676,05/02/22,8.01
677,06/02/22,44.31
