Index,DT,A1
1,01/04/20,29.25
2,02/04/20,27.49
3,03/04/20,17.31
4,04/04/20,22.06
5,05/04/20,18.43
6,06/04/20,10.19
7,07/04/20,18.87
8,08/04/20,17.81
9,09/04/20,17.5
10,10/04/20,7.31
11,11/04/20,4.5
12,12/04/20,3.8
13,13/04/20,2.05
14,14/04/20,1.75
15,15/04/20,1.83
16,16/04/20,1.69
17,17/04/20,1.5
18,18/04/20,1.88
19,19/04/20,0.94
20,20/04/20,0.69
21,21/04/20,0.81
22,22/04/20,0.63
23,23/04/20,0.99
24,24/04/20,1.24
25,25/04/20,1.56
26,26/04/20,1.19
27,27/04/20,1.19
28,28/04/20,1
29,29/04/20,1.24
30,30/04/20,0.75
31,01/05/20,0.99
32,02/05/20,1.2
33,03/05/20,0.99
34,04/05/20,1.06
35,05/05/20,1.12
36,06/05/20,1.25
37,07/05/20,1.14
38,08/05/20,1.19
39,09/05/20,1.5
40,10/05/20,2.63
41,11/05/20,1.31
42,12/05/20,1.13
43,13/05/20,1.62
44,14/05/20,1.69
45,15/05/20,1.87
46,16/05/20,1.25
47,17/05/20,1.18
48,18/05/20,2.19
49,19/05/20,3.12
50,20/05/20,3.56
51,21/05/20,3.32
52,22/05/20,6.13
53,23/05/20,12.19
54,24/05/20,20.12
55,25/05/20,17
56,26/05/20,36.06
57,27/05/20,24.38
58,28/05/20,30.5
59,29/05/20,30.25
60,30/05/20,30.57
61,31/05/20,29.95
62,01/06/20,30.63
63,02/06/20,24.19
64,03/06/20,24.94
65,04/06/20,19.25
66,05/06/20,26.81
67,06/06/20,27.75
68,07/06/20,32.38
69,08/06/20,3.5
70,09/06/20,3.5
71,10/06/20,3.05
72,11/06/20,31.13
73,12/06/20,22.38
74,13/06/20,5.31
75,14/06/20,3.99
76,15/06/20,2.32
77,16/06/20,3.69
78,17/06/20,4.45
79,18/06/20,3.94
80,19/06/20,2.18
81,20/06/20,4.19
82,21/06/20,3.24
83,22/06/20,3.87
84,23/06/20,3.93
85,24/06/20,5.68
86,25/06/20,7.19
87,26/06/20,6.49
88,27/06/20,18.87
89,28/06/20,27.69
90,29/06/20,30.68
91,30/06/20,26.11
92,01/07/20,23.75
93,02/07/20,31.38
94,03/07/20,31.68
95,04/07/20,26.06
96,05/07/20,28.62
97,06/07/20,17.01
